subject	session	block	trial 	response duration	typeTop	typeBot	sameFlag	response	correctFlag	rt	rtFlag	face_top	x_top_target	y_top_target	x_top_probe	y_top_probe	face_bot	x_bot_target	y_bot_target	x_bot_probe	y_bot_probe
1	1	3	66	0.05	3	3	2	1	0	226.81	1	20	1	1	3	3	5	3	1	1	3
1	1	3	67	1.8	1	1	1	2	0	209.87	1	7	1	1	1	1	3	3	1	3	1
1	1	3	68	1.8	1	1	1	1	1	194.09	1	7	3	3	3	3	13	1	1	1	1
1	1	3	69	0.1	1	1	1	2	0	223.06	1	11	1	3	1	3	12	3	3	3	3
1	1	3	70	1.8	3	3	2	1	0	254.38	1	10	1	1	3	3	4	1	1	3	3
1	1	3	71	0.2	3	3	2	2	1	214.03	1	6	3	1	1	3	2	1	1	3	3
1	1	3	72	0.4	3	3	2	2	1	205.73	1	6	3	1	1	3	2	1	3	3	1
1	1	3	73	0.05	3	3	2	1	0	268.9	1	12	3	3	1	1	12	3	1	1	3
1	1	3	74	0.4	3	3	2	2	1	204.56	1	12	3	1	1	3	9	3	1	1	3
1	1	3	75	0.4	1	1	1	2	0	222.1	1	10	1	3	1	3	2	3	3	3	3
1	1	3	76	0.8	1	1	1	1	1	228.03	1	3	1	3	1	3	11	1	3	1	3
1	1	3	77	1.8	3	3	2	1	0	189.41	1	2	3	3	1	1	3	1	3	3	1
1	1	3	78	0.2	3	3	2	2	1	218.43	1	10	1	3	3	1	2	3	1	1	3
1	1	4	1	0.8	3	3	2	2	1	204.18	1	3	3	1	1	3	15	3	1	1	3
1	1	4	2	0.1	3	3	2	1	0	360.39	0	5	1	3	3	1	16	1	1	3	3
1	1	4	3	0.4	1	1	1	2	0	209.83	1	10	1	3	1	3	3	1	1	1	1
1	1	4	4	1.8	3	3	2	1	0	240.26	1	14	1	3	3	1	14	1	3	3	1
1	1	4	5	0.2	1	1	1	1	1	213.21	1	5	3	1	3	1	8	1	1	1	1
1	1	4	6	0.8	1	1	1	2	0	204	1	16	3	1	3	1	2	1	3	1	3
1	1	4	7	0.2	1	1	1	1	1	303.46	0	2	3	1	3	1	3	1	3	1	3
1	1	4	8	0.2	3	3	2	2	1	207.44	1	1	3	1	1	3	14	3	1	1	3
1	1	4	9	1.8	3	3	2	1	0	205.33	1	12	1	3	3	1	18	3	3	1	1
1	1	4	10	0.1	3	3	2	1	0	252.37	1	12	3	1	1	3	16	3	3	1	1
1	1	4	11	0.2	3	3	2	2	1	247.59	1	16	3	1	1	3	14	3	1	1	3
1	1	4	12	0.1	1	1	1	1	1	256.91	1	13	3	3	3	3	2	3	3	3	3
1	1	4	13	0.05	1	1	1	2	0	223.15	1	20	1	3	1	3	16	1	1	1	1
1	1	4	14	0.1	1	1	1	1	1	226.28	1	1	1	1	1	1	9	1	3	1	3
1	1	4	15	0.1	1	1	1	2	0	241.79	1	17	1	3	1	3	10	1	3	1	3
1	1	4	16	0.05	1	1	1	1	1	260.12	1	14	1	1	1	1	2	3	1	3	1
1	1	4	17	0.4	1	1	1	2	0	202.71	1	14	3	3	3	3	12	1	1	1	1
1	1	4	18	0.8	3	3	2	1	0	188.74	1	9	3	3	1	1	19	1	1	3	3
1	1	4	19	1.8	3	3	2	2	1	202.49	1	1	3	3	1	1	7	1	3	3	1
1	1	4	20	0.2	1	1	1	1	1	217.87	1	14	1	1	1	1	4	3	1	3	1
1	1	4	21	0.05	3	3	2	2	1	243.37	1	3	3	3	1	1	15	1	3	3	1
1	1	4	22	0.05	1	1	1	1	1	226.9	1	9	3	1	3	1	3	3	1	3	1
1	1	4	23	0.8	3	3	2	2	1	228.23	1	16	1	1	3	3	3	1	3	3	1
1	1	4	24	0.1	1	1	1	1	1	212.2	1	5	1	3	1	3	16	3	3	3	3
1	1	4	25	1.8	1	1	1	2	0	239.44	1	18	1	1	1	1	15	1	1	1	1
1	1	4	26	0.05	1	1	1	1	1	235.75	1	8	1	3	1	3	7	3	1	3	1
1	1	4	27	1.8	1	1	1	2	0	235.93	1	18	1	3	1	3	2	1	3	1	3
1	1	4	28	0.4	3	3	2	1	0	210.15	1	4	3	3	1	1	15	3	3	1	1
1	1	4	29	0.1	1	1	1	2	0	206.05	1	14	1	1	1	1	10	3	1	3	1
1	1	4	30	0.05	1	1	1	1	1	211.51	1	15	1	1	1	1	7	1	1	1	1
1	1	4	31	0.05	1	1	1	2	0	227.18	1	13	3	1	3	1	15	3	3	3	3
1	1	4	32	0.2	1	1	1	1	1	204.09	1	14	1	1	1	1	9	1	1	1	1
1	1	4	33	0.1	1	1	1	1	1	200.34	1	6	1	1	1	1	5	3	1	3	1
1	1	4	34	0.8	1	1	1	2	0	206.12	1	4	1	3	1	3	5	1	1	1	1
1	1	4	35	0.2	1	1	1	1	1	250.47	1	10	1	1	1	1	8	1	3	1	3
1	1	4	36	0.4	1	1	1	1	1	239.46	1	3	1	3	1	3	8	1	1	1	1
1	1	4	37	0.2	3	3	2	1	0	209.23	1	14	3	1	1	3	17	1	3	3	1
1	1	4	38	0.8	1	1	1	2	0	253.76	1	6	3	1	3	1	8	3	1	3	1
1	1	4	39	0.2	3	3	2	1	0	273.41	1	17	1	1	3	3	10	3	1	1	3
1	1	4	40	0.4	3	3	2	2	1	197.35	1	5	1	1	3	3	17	3	1	1	3
1	1	4	41	0.8	1	1	1	1	1	224.93	1	18	1	1	1	1	17	3	1	3	1
1	1	4	42	1.8	1	1	1	2	0	201.4	1	5	3	3	3	3	3	3	1	3	1
1	1	4	43	0.8	3	3	2	1	0	239.71	1	15	3	3	1	1	4	3	1	1	3
